speaker	pillai	pair	variety	type	element
F1	0.586418273583576	u-(ə)u	Cangnan	falling	offset
F2	0.088364543962743	u-(ə)u	Cangnan	falling	offset
F3	0.700730373196963	u-(ə)u	Cangnan	falling	offset
F4	0.6697741408498	u-(ə)u	Cangnan	falling	offset
F5	0.433682040732509	u-(ə)u	Cangnan	falling	offset
M1	0.276482737981299	u-(ə)u	Cangnan	falling	offset
M2	0.392676776350508	u-(ə)u	Cangnan	falling	offset
M3	0.769748515254727	u-(ə)u	Cangnan	falling	offset
M4	0.657523838509753	u-(ə)u	Cangnan	falling	offset
M5	0.859664233601459	u-(ə)u	Cangnan	falling	offset
